Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,Condição,Preco,ID Anuncio,Data Anuncio,Link,Tipo de cor,Consumo Urbano,Consumo Extra Urbano,Filtro de partículas,Aceita retoma,2º Chave,IUC,Consumo Combinado,Inspecção válida até,Sub-modelo,Autonomia Máxima,Autonomia,Bateria,ou até,Garantia de Fábrica até,Clássico,Consumo,Gancho de Reboque,Capacidade da bateria,Valor sem ISV,Site,Portugal,Data
Profissional,Peugeot,208,1.2 PureTech Active Pack,Gasolina,Junho,2021,59 000 km,1 199 cm3,75 cv,,,Sim,Citadino,Cinzento,Manual,,5,5,,,,18 Meses,,Nacional,Sim,Sim,Usados,16 500        EUR,8090129734,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-active-pack-ID8Pwmjs.html,Metalizado,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Renault,Mégane,1.3 TCe GT Line,Gasolina,Janeiro,2019,25 000 km,1 332 cm3,140 cv,,,Sim,Utilitário,Azul,Manual,6,5,5,Classe 1,,,36 Meses,,,,,Usados,21 750        EUR,8090155320,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-3-tce-gt-line-ID8PwsY8.html,,,,,Sim,,,,,,,,,,01/01/0001,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Renault,Talisman Sport Tourer,1.5 dCi Zen P.Business,Diesel,Maio,2018,137 081 km,1 461 cm3,110 cv,,,,Carrinha,Preto,Manual,6,5,5,Classe 1,Tracção dianteira,98 g/km,18 Meses,1,Nacional,Sim,Sim,Usados,16 990        EUR,8090556678,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-talisman-sport-tourer-1-5-dci-zen-p-business-ID8Px9nE.html,Metalizado,"4,20 l/100km","3,50 l/100km",,,Sim,"156,21 €",,14/08/2024,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Volvo,V40,2.0 D2 Momentum Geartronic,Diesel,Maio,2019,124 260 km,1 969 cm3,120 cv,Sim,,Sim,Carrinha,Preto,Automática,,5,5,,Tracção dianteira,,18 Meses,,Nacional,,,Usados,20 900        EUR,8090658050,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v40-2-0-d2-momentum-geartronic-ID8PxzKG.html,,,,,Sim,,,,05/05/2025,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Hyundai,Kauai,1.0 T-GDi N-Line,Gasolina,Julho,2021,24 653 km,998 cm3,120 cv,Sim,,Sim,SUV / TT,Vermelho,Manual,,5,,,,,18 Meses,,,,,Usados,22 190        EUR,8090691337,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-kauai-1-0-t-gdi-n-line-ID8PxIpz.html,,,,,Sim,,,"6,10 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,BMW,116,d Line Sport Auto,Diesel,Fevereiro,2018,98 500 km,1 496 cm3,116 cv,,,,Utilitário,Prateado,Automática,7,5,5,Classe 1,Tracção traseira,124 g/km,,1,Nacional,Sim,Sim,Usados,23 250        EUR,8090653417,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-line-sport-auto-ID8PxyxX.html,Metalizado,,,,,Sim,,,,Série 1,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Maio,2019,54 000 km,1 461 cm3,116 cv,,,,Utilitário,Cinzento,Automática,7,5,5,Classe 1,Tracção dianteira,123 g/km,18 Meses,,Nacional,Sim,Sim,Usados,29 990        EUR,8090618983,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PxpAz.html,Metalizado,,,,,Sim,,,,Classe A,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Fiat,500X,1.3 MJ S-Design,Diesel,Maio,2018,66 388 km,1 248 cm3,95 cv,Sim,,Sim,SUV / TT,Cinzento,Manual,,5,5,Classe 1,,,18 Meses,1,Importado,,Sim,Usados,19 250        EUR,8089117225,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500x-1-3-mj-s-design-ID8Pr6UF.html,,,,Sim,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,SEAT,Leon,SC 2.0 TDI FR S/S,Diesel,Setembro,2015,169 000 km,1 968 cm3,184 cv,,,Sim,Utilitário,Branco,Manual,6,3,5,Classe 1,Tracção dianteira,,36 Meses,1,,Sim,,Usados,18 900        EUR,8089340447,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-sc-2-0-tdi-fr-s-s-ID8Ps2Z1.html,,,,Sim,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,BMW,418 Gran Coupé,d Aut. Advantage,Diesel,Março,2015,155 750 km,1 995 cm3,150 cv,,,Sim,Sedan,Azul,Automática,,5,5,Classe 1,Tracção traseira,,18 Meses,2,Nacional,,Sim,Usados,20 850        EUR,8090584687,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-418-gran-coup-d-aut-advantage-ID8PxgFp.html,Metalizado,"5,20 l/100km",,Sim,Sim,Sim,,,,Série 4,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Opel,Corsa,1.2 T GS Line,Gasolina,Janeiro,2020,60 000 km,1 199 cm3,100 cv,Sim,,Sim,Citadino,Vermelho,Manual,6,5,5,,,,18 Meses,1,Nacional,Sim,Sim,Usados,16 990        EUR,8090518675,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-2-t-gs-line-ID8PvZuH.html,Metalizado,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,VW,Passat Variant,1.4 TSI GTE Plug-in,Híbrido (Gasolina),Julho,2018,108 444 km,1 395 cm3,218 cv,Sim,Sim,Sim,Carrinha,Preto,Automática,6,5,5,Classe 1,Tracção dianteira,27 g/km,18 Meses,1,Nacional,Sim,Sim,Usados,24 990        EUR,8090291975,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-passat-variant-1-4-tsi-gte-plug-in-ID8Pv2vf.html,Metalizado,,,,Sim,Sim,,,,,,,,160 000 km,31/07/2026,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Peugeot,3008,1.6 BlueHDi GT Line Grip Control EAT6,Diesel,Dezembro,2018,80 000 km,1 560 cm3,120 cv,,,Sim,SUV / TT,Branco,Automática,6,5,5,Classe 1,Tracção dianteira,114 g/km,18 Meses,1,,Sim,Sim,Usados,29 750        EUR,8090219151,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-6-bluehdi-gt-line-grip-control-eat6-ID8PwJzF.html,Pérola,"4,90 l/100km","4,10 l/100km",,Sim,Sim,140 €,,30/12/2023,,800 km,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Abarth,595C,1.4 T-Jet 595,Gasolina,Outubro,2018,28 762 km,1 368 cm3,145 cv,Sim,,Sim,Coupé,Branco,Manual,,2,3,Classe 1,,152 g/km,18 Meses,1,Importado,,Sim,Usados,23 500        EUR,8089117236,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/abarth-595c-1-4-t-jet-595-ID8Pr6UQ.html,,,,,Sim,Sim,"180,34 €",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Renault,Mégane,1.5 dCi Limited,Diesel,Março,2018,121 289 km,1 461 cm3,110 cv,Sim,,Sim,Utilitário,Preto,Manual,6,5,5,Classe 1,,,18 Meses,1,,,Sim,Usados,16 250        EUR,8090014691,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-dci-limited-ID8PuSnW.html,,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Dezembro,2017,91 000 km,1 461 cm3,109 cv,,,Sim,Utilitário,Preto,Automática,7,5,5,Classe 1,Tracção dianteira,105 g/km,18 Meses,1,,Sim,Sim,Usados,25 950        EUR,8090031892,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PuVRm.html,Metalizado,"4,50 l/100km","3,60 l/100km",Sim,Sim,Sim,140 €,,,Classe A,800 km,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Renault,Mégane Sport Tourer,1.6 dCi Bose Edition J18,Diesel,Dezembro,2018,59 000 km,1 598 cm3,130 cv,,,Sim,Carrinha,Preto,Manual,6,5,5,Classe 1,Tracção dianteira,105 g/km,18 Meses,1,,Sim,Sim,Usados,22 850        EUR,8090239848,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-6-dci-bose-edition-j18-ID8PwOXu.html,Metalizado,"4,60 l/100km","3,70 l/100km",,Sim,Sim,140 €,,30/12/2023,,800 km,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Hyundai,Kauai,EV 39kWh Vanguard,Eléctrico,Maio,2021,33 200 km,,136 cv,Sim,Sim,Sim,SUV / TT,Branco,Automática,,5,5,Classe 1,Tracção dianteira,,36 Meses,,,Sim,,Usados,24 900        EUR,8090677928,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-kauai-ev-39kwh-vanguard-ID8PxEWi.html,Metalizado,,,,,Sim,,,,,550 km,,Própria,,,,,,39 kWh,,StandVirtual,Yes,2023-09-25
Profissional,VW,Golf,1.6 TDI R-Line,Diesel,Novembro,2018,59 000 km,1 598 cm3,115 cv,,,Sim,Utilitário,Branco,Manual,5,5,5,Classe 1,Tracção dianteira,135 g/km,18 Meses,1,,Sim,Sim,Usados,22 500        EUR,8090251337,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-1-6-tdi-r-line-ID8PwRVN.html,Metalizado,"4,80 l/100km","3,90 l/100km",,Sim,Sim,160 €,,30/11/2023,,800 km,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Peugeot,5008,1.5 BlueHDi Allure Pack EAT8,Diesel,Fevereiro,2020,104 000 km,1 499 cm3,130 cv,,,Sim,Monovolume,Preto,Automática,,5,7,Classe 1,,139 g/km,18 Meses,1,,Sim,Sim,Usados,28 900        EUR,8090253237,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-5-bluehdi-allure-pack-eat8-ID8PwSrr.html,Metalizado,,,Sim,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Mercedes-Benz,A 180,d Fleet Pack Urban,Diesel,Dezembro,2016,60 000 km,1 461 cm3,109 cv,Sim,,Sim,Utilitário,Branco,Manual,6,5,5,Classe 1,Tracção dianteira,,18 Meses,1,Nacional,Sim,Sim,Usados,24 998        EUR,8087090286,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-fleet-pack-urban-ID8PiBC6.html,,"4,50 l/100km",,Sim,Sim,Sim,,,17/12/2024,Classe A,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Abarth,595,1.4 T-Jet Turismo,Gasolina,Fevereiro,2022,1 000 km,1 368 cm3,165 cv,Sim,,Sim,Utilitário,Cinzento,Manual,5,3,4,Classe 1,Tracção dianteira,155 g/km,18 Meses,1,Nacional,Sim,Sim,Usados,26 950        EUR,8088097672,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-turismo-ID8PmPGg.html,Metalizado,"8,60 l/100km","5,60 l/100km",,Sim,Sim,"138,51 €","6,80 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,MINI,Cooper,D,Diesel,Dezembro,2017,85 000 km,1 496 cm3,116 cv,,,Sim,Utilitário,Azul,Manual,6,5,5,Classe 1,Tracção dianteira,114 g/km,18 Meses,1,,Sim,Sim,Usados,21 500        EUR,8090251049,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-cooper-d-ID8PwRS9.html,Metalizado,"4,40 l/100km","3,60 l/100km",,Sim,Sim,160 €,,30/12/2023,,800 km,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Opel,Corsa-e,Elegance,Eléctrico,Maio,2020,62 265 km,,136 cv,,,Sim,Citadino,Laranja,Automática,,5,5,,,,18 Meses,1,,,,Usados,23 999        EUR,8087834973,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-e-elegance-ID8PlJlb.html,,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,MINI,Countryman,One Auto,Gasolina,Abril,2018,60 000 km,1 499 cm3,102 cv,Sim,,Sim,SUV / TT,Cinzento,Automática,,5,5,Classe 1,,,18 Meses,1,Nacional,Sim,Sim,Usados,24 990        EUR,8088152291,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-countryman-one-auto-ID8Pn3Td.html,,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Mazda,5,MZR-CD 1.6 Superior Wagon +Xenon +PE+Pele,Diesel,Dezembro,2015,90 500 km,1 560 cm3,115 cv,,,Sim,Monovolume,Cinzento,Manual,6,5,7,Classe 1,Tracção dianteira,138 g/km,18 Meses,1,,Sim,Sim,Usados,18 650        EUR,8090154544,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mazda-5-mzr-cd-1-6-superior-wagon-xenon-pe-pele-ID8PwsLC.html,Metalizado,"6,40 l/100km","4,60 l/100km",,Sim,Sim,140 €,,30/12/2023,,800 km,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,BMW,118,d Pack M,Diesel,Dezembro,2013,120 000 km,1 995 cm3,143 cv,,,Sim,Utilitário,Preto,Manual,6,5,5,Classe 1,Tracção traseira,115 g/km,18 Meses,1,,Sim,Sim,Usados,17 099        EUR,8090155261,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-118-d-pack-m-ID8PwsXb.html,Metalizado,"5,30 l/100km","3,90 l/100km",Sim,Sim,Sim,147 €,,30/12/2023,Série 1,800 km,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Renault,Captur,0.9 TCE Sport,Gasolina,Abril,2017,62 000 km,898 cm3,90 cv,,,Sim,SUV / TT,Azul,Manual,5,5,5,Classe 1,Tracção dianteira,113 g/km,18 Meses,1,Nacional,Sim,Sim,Usados,16 999        EUR,8090218594,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-0-9-tce-sport-ID8PwJqG.html,Metalizado,"5,90 l/100km","4,30 l/100km",,Sim,Sim,"103,12 €",,30/04/2024,,800 km,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,Mercedes-Benz,E 250,,Diesel,Junho,2011,165 650 km,2 143 cm3,204 cv,,,,Carrinha,Preto,Automática,7,5,5,Classe 1,Tracção dianteira,143 g/km,,3,Nacional,Sim,Sim,Usados,24 500        EUR,8090618923,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-250-ID8PxpzB.html,Metalizado,,,,,Sim,271 €,,24/06/2024,Classe E,800 km,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,BMW,X1,18 d sDrive Auto Line Sport,Diesel,Maio,2018,139 000 km,1 995 cm3,150 cv,Sim,,Sim,SUV / TT,Cinzento,Automática,7,5,5,Classe 1,Tracção dianteira,,18 Meses,1,Nacional,Sim,Sim,Usados,29 300        EUR,8088672160,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-x1-18-d-sdrive-auto-line-sport-ID8Ppf8c.html,,,,,Sim,Sim,,,,Série X,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,DS,DS5,1.6 BlueHDi So Chic,Diesel,Fevereiro,2018,121 000 km,1 560 cm3,120 cv,,,Sim,Utilitário,Cinzento,Manual,,5,5,,Tracção dianteira,,18 Meses,,,Sim,Sim,Usados,17 490        EUR,8089745886,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ds-ds5-1-6-bluehdi-so-chic-ID8PtKsm.html,,,,,Sim,Sim,,,01/02/2024,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,Audi,A5 Sportback,ack 2.0 TDI quattro,Diesel,Novembro,2010,274 000 km,1 968 cm3,170 cv,,,,Coupé,Preto,Manual,,5,,,,,,,,,,Usados,16 500        EUR,8090596955,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a5-sportback-ack-2-0-tdi-quattro-ID8PxjRh.html,,7 l/100km,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Nissan,Juke,1.0 DIG-T N-Connecta,Gasolina,Junho,2021,61 218 km,999 cm3,114 cv,,,Sim,SUV / TT,Branco,Manual,6,5,5,,Tracção dianteira,,18 Meses,1,Nacional,Sim,,Usados,19 900        EUR,8090618599,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-0-dig-t-n-connecta-ID8Pxpun.html,,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,BMW,118,i Pack M,Gasolina,Junho,2016,167 533 km,1 499 cm3,136 cv,Sim,,Sim,Utilitário,Branco,Manual,6,3,5,Classe 1,Tracção traseira,,18 Meses,1,,Sim,Sim,Usados,17 650        EUR,8087491192,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-118-i-pack-m-ID8PkhUk.html,Pérola,"6,50 l/100km",,,Sim,Sim,,,,Série 1,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Renault,Captur,dCi 90 EDC Dynamique,Diesel,Junho,2019,109 000 km,1 461 cm3,90 cv,Sim,Sim,,SUV / TT,Cinzento,Automática,6,5,5,Classe 1,Tracção dianteira,103 g/km,18 Meses,,,Sim,Sim,Usados,17 250        EUR,8089688057,23 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-dci-90-edc-dynamique-ID8PtwpD.html,Metalizado,"4,60 l/100km","3,60 l/100km",,Sim,Sim,147 €,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,VW,Scirocco,2.0 TDI Sport,Diesel,Março,2015,122 000 km,1 968 cm3,150 cv,Sim,,Sim,Coupé,Castanho,Manual,6,3,4,,,,18 Meses,,Nacional,,,Usados,23 900        EUR,8090415992,24 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-scirocco-2-0-tdi-sport-ID8PvyMv.html,Metalizado,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,Land Rover,Range Rover Evoque,2.0 eD4 SE Dynamic,Diesel,Agosto,2016,117 138 km,1 999 cm3,150 cv,,,,SUV / TT,Preto,Manual,,5,,,,,,,,,,Usados,29 000        EUR,8090192563,24 Setembro 2023,https://www.standvirtual.com/carros/anuncio/land-rover-range-rover-evoque-2-0-ed4-se-dynamic-ID8PwCEP.html,Metalizado,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,BMW,123,d Cabrio Limited Edition Lifestyle c/ M Sport Pack,Diesel,Julho,2010,169 000 km,1 995 cm3,204 cv,Sim,,Sim,Cabrio,Azul,Manual,6,2,4,,,,18 Meses,2,Importado,Sim,Sim,Usados,16 950        EUR,8090044704,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-123-d-cabrio-limited-edition-lifestyle-c-m-sport-pack-ID8Pw0c0.html,Metalizado,"6,60 l/100km",,Sim,Sim,Sim,,,,Série 1,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Dacia,Spring,Electric 45 Expression,Eléctrico,Abril,2023,90 km,,45 cv,Sim,Sim,Sim,Citadino,Preto,Automática,,5,4,Classe 1,Tracção dianteira,,36 Meses,,Nacional,,,Novos,22 900        EUR,8089370504,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-spring-electric-45-expression-ID8PsaNO.html,Metalizado,,,,,Sim,,,,,305 km,230 km,Própria,,,,10 kWh/100km,,,,StandVirtual,Yes,2023-09-25
Profissional,BMW,318,d Touring,Diesel,Julho,2018,156 000 km,1 995 cm3,150 cv,Sim,Sim,,Carrinha,Preto,Manual,6,5,5,Classe 1,Tracção traseira,135 g/km,18 Meses,1,Nacional,Sim,,Usados,20 750        EUR,8089657826,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-318-d-touring-ID8Ptny2.html,Metalizado,,,,,Sim,,,12/07/2024,Série 3,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Dacia,Spring,Electric 45 Expression,Eléctrico,Maio,2023,80 km,,45 cv,Sim,Sim,Sim,Citadino,Branco,Automática,,5,4,Classe 1,Tracção dianteira,,18 Meses,,Nacional,Sim,,Novos,22 500        EUR,8089605494,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-spring-electric-45-expression-ID8Pt9WY.html,,,,,,Sim,,,,,305 km,270 km,Própria,,09/05/2026,,10 kWh/100km,,,,StandVirtual,Yes,2023-09-25
Profissional,MINI,One,Sport Edition,Gasolina,Agosto,2020,12 135 km,1 499 cm3,102 cv,,,Sim,Citadino,Preto,Manual,6,3,4,Classe 1,Tracção dianteira,,18 Meses,1,,Sim,Sim,Usados,20 900        EUR,8087893549,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-one-sport-edition-ID8PlYzX.html,Metalizado,6 l/100km,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,Audi,Q2,1.6 TDI Sport,Diesel,Julho,2018,40 027 km,1 598 cm3,116 cv,,,,SUV / TT,Branco,Manual,6,5,5,Classe 1,Tracção dianteira,,,,,,,Usados,24 900        EUR,8090229022,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-q2-1-6-tdi-sport-ID8PwM8S.html,Metalizado,"4,90 l/100km",,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,BMW,i3,,Eléctrico,Abril,2019,73 000 km,,170 cv,Sim,,,Citadino,Preto,Automática,,5,,Classe 1,,,,1,Nacional,Sim,Sim,Usados,22 500        EUR,8090691325,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-i3-ID8PxIpn.html,,,,,,Sim,,,15/04/2025,Série i,320 km,320 km,Própria,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,Skoda,Octavia Break,1.6 TDI Style,Diesel,Abril,2017,100 000 km,1 598 cm3,115 cv,,,,Carrinha,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,131 g/km,,1,Nacional,Sim,Sim,Usados,17 000        EUR,8090525150,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/skoda-octavia-break-1-6-tdi-style-ID8Px1b8.html,,"4,80 l/100km","3,80 l/100km",,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,BMW,520,d Line Luxury Auto,Diesel,Janeiro,2014,125 000 km,1 995 cm3,184 cv,Sim,,,Carrinha,Preto,Automática,8,5,5,Classe 1,,,18 Meses,,Nacional,,,Usados,21 990        EUR,8090056579,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-520-d-line-luxury-auto-ID8Pw3hx.html,,,,,Sim,Sim,,,,Série 5,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Jaguar,XE,2.0 D Prestige Aut.,Diesel,Janeiro,2018,85 000 km,1 999 cm3,163 cv,,,Sim,Sedan,Azul,Automática,,4,5,,Tracção traseira,,18 Meses,,,Sim,Sim,Usados,23 900        EUR,8090397920,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/jaguar-xe-2-0-d-prestige-aut-ID8Pvu52.html,,,,,Sim,,,,01/01/2024,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Mercedes-Benz,CLA 220,CDi Urban Aut.111g,Diesel,Setembro,2015,109 000 km,2 143 cm3,170 cv,Sim,,,Carrinha,Azul,Automática,7,4,5,Classe 1,,,18 Meses,,Nacional,,,Usados,24 990        EUR,8089444075,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-220-cdi-urban-aut-111g-ID8PstVr.html,,,,Sim,Sim,Sim,,,,Classe CLA,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,VW,e-Golf,,Eléctrico,Outubro,2018,23 750 km,,136 cv,Sim,,,Utilitário,Branco,Automática,,5,5,Classe 1,,,18 Meses,,Nacional,,,Usados,25 990        EUR,8089238166,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-e-golf-ID8PrCnk.html,,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,Mercedes-Benz,E 300,Bluetec Hybrid Avantgarde,Híbrido (Diesel),Agosto,2013,260 000 km,2 143 cm3,231 cv,,,,Sedan,Cinzento,Automática,7,5,5,Classe 1,,,,,,,Sim,Usados,21 500        EUR,8090689462,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-300-bluetec-hybrid-avantgarde-ID8PxHWk.html,Metalizado,"4,50 l/100km",,,,Sim,,,01/08/2024,Classe E,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Peugeot,308 SW,1.5 BlueHDi Allure,Diesel,Fevereiro,2020,106 200 km,1 499 cm3,130 cv,Sim,,Sim,Carrinha,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,117 g/km,18 Meses,1,,,Sim,Usados,20 900        EUR,8090179773,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-allure-ID8Pwzkx.html,Metalizado,,,,Sim,Sim,155 €,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Mercedes-Benz,C 200,d Avantgarde Aut.,Diesel,Setembro,2017,110 695 km,1 598 cm3,136 cv,Sim,,Sim,Carrinha,Cinzento,Automática,,5,5,,,114 g/km,18 Meses,,,,,Usados,24 900        EUR,8089534444,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-200-d-avantgarde-aut-ID8PsRs0.html,,"5,20 l/100km","3,80 l/100km",Sim,Sim,,,"4,30 l/100km",,Classe C,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Citroën,C4,1.5 BlueHDi Feel Pack,Diesel,Janeiro,2022,40 000 km,1 499 cm3,110 cv,,,Sim,Utilitário,Cinzento,Manual,,5,5,,,,18 Meses,,Nacional,Sim,Sim,Usados,23 750        EUR,8090293521,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-1-5-bluehdi-feel-pack-ID8Pv2Wb.html,Metalizado,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,SEAT,Ibiza,1.6 TDI Reference,Diesel,Agosto,2018,63 519 km,1 598 cm3,95 cv,Sim,,,Utilitário,Preto,Manual,5,5,5,Classe 1,,,18 Meses,,Nacional,,,Usados,15 490        EUR,8089238168,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-6-tdi-reference-ID8PrCnm.html,,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
